Price,Area,Bedrooms,WC,Length,Width,Floors,has_facade,no_facade,Area_Total,Average_price
16.2,143.5,6.0,3.0,7.0,20.0,4.0,1,0,486.0,6.094126923076923
4.15,50.0,2.0,2.0,10.0,5.0,2.0,1,0,100.0,6.094126923076923
4.55,57.0,3.0,1.9393925043558335,14.0,4.0,2.0,1,0,114.0,6.094126923076923
9.7,80.0,5.0,4.0,16.0,5.0,3.0,1,0,240.0,6.094126923076923
5.7,56.0,4.0,5.0,14.0,4.0,4.0,1,0,224.0,6.094126923076923
14.3,134.0,4.599645462816848,4.55371658647115,4.3,24.0,4.0,1,0,486.0,6.094126923076923
4.15,50.0,2.0,2.0,5.0,10.0,2.0,1,0,100.0,6.094126923076923
16.0,126.0,7.0,7.071192915250995,6.0,21.0,3.0,1,0,378.0,6.094126923076923
14.2,80.0,3.0,3.6547906889159516,20.0,4.0,3.0,1,0,240.0,6.094126923076923
7.5,66.0,4.0,5.0,11.0,6.0,4.0,1,0,264.0,6.094126923076923
5.5,84.0,5.0,6.0,4.0,21.0,2.0,1,0,168.0,6.094126923076923
4.25,50.0,3.0,2.0,4.0,12.5,2.0,1,0,100.0,6.094126923076923
3.8,38.0,2.0,2.0,11.0,3.4545454545454546,2.0,1,0,76.0,6.094126923076923
3.8,38.0,2.0,2.0,11.0,3.5,2.0,1,0,76.0,6.094126923076923
5.0,80.0,4.0,3.0,4.0,20.0,3.0,1,0,240.0,6.094126923076923
16.2,143.5,7.0,6.880831067342576,7.0,24.0,1.0,1,0,280.0,6.094126923076923
7.0,90.0,3.3333333333333335,2.6666666666666665,6.0,15.0,2.0,1,0,180.0,6.094126923076923
3.95,65.0,2.0,2.0,4.0,16.0,2.0,1,0,130.0,6.094126923076923
8.0,105.0,5.0,2.0,20.0,5.3,1.0,1,0,105.0,6.094126923076923
4.25,44.0,3.094888004631114,2.7578821598263503,11.0,4.0,4.0,1,0,176.0,6.094126923076923
3.9,80.0,4.0,2.0,4.0,12.0,2.0,1,0,160.0,6.094126923076923
4.68,48.0,4.0,3.0,12.0,4.0,4.0,1,0,192.0,6.094126923076923
9.2,80.0,6.0,5.0,4.0,20.0,4.0,1,0,320.0,6.094126923076923
2.9,60.0,2.5,2.0,14.0,4.3,1.0,1,0,60.0,6.094126923076923
2.7,58.0,2.0,3.0,11.0,6.0,3.0,1,0,174.0,6.094126923076923
13.5,100.0,4.0,5.0,10.0,10.0,4.0,1,0,400.0,6.094126923076923
4.0,44.0,3.0,2.0,11.0,4.0,3.0,0,1,132.0,6.094126923076923
11.3,84.0,4.0,4.0,21.0,4.0,4.0,1,0,336.0,6.094126923076923
3.7,56.0,1.0,1.0,14.0,4.0,1.0,1,0,56.0,6.094126923076923
15.0,80.0,4.0,5.0,20.0,4.0,3.0,1,0,240.0,6.094126923076923
15.0,80.0,4.0,5.0,20.0,4.0,3.0,1,0,240.0,6.094126923076923
12.7,100.0,5.0,5.0,10.0,10.0,3.0,1,0,300.0,6.094126923076923
15.0,120.0,6.0,7.071192915250995,6.0,20.0,4.0,1,0,480.0,6.094126923076923
2.9,60.0,2.0,2.0,4.3,4.7,2.0,1,0,120.0,6.094126923076923
3.85,44.0,3.0,2.0,11.0,4.0,3.0,1,0,132.0,6.094126923076923
3.85,44.0,3.0,2.0,11.0,4.0,3.0,1,0,132.0,6.094126923076923
2.7,45.0,2.0,2.0,10.3,4.4,2.0,1,0,90.0,6.094126923076923
4.7,82.0,3.0,2.0,19.0,4.3,2.0,1,0,164.0,6.094126923076923
10.5,65.0,4.0,4.039345737393571,4.0,16.7,3.0,1,0,195.0,6.094126923076923
4.85,60.2,2.0,2.0,5.0,12.0,4.0,0,1,240.8,6.094126923076923
6.3,111.0,3.0,3.0,4.0,24.0,2.0,1,0,222.0,6.094126923076923
